"FileName";"FileSize";"FileModifyDate";"FileAccessDate";"FileInodeChangeDate";"FilePermissions";"FileType";"FileTypeExtension";"GPSLatitudeRef";"GPSLongitudeRef";"GPSLatitude";"GPSLongitude";"GPSPosition";"Megapixels"
"20210719_102346.jpg";"4648875";"2021:09:21 08:58:44+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_102505.jpg";"6225053";"2021:09:21 08:58:46+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_102521.jpg";"3932681";"2021:09:21 08:58:50+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4038223000000";"11,3173101997222";"49.4038223 11.3173101997222";"12"
"20210719_102529.jpg";"2166230";"2021:09:21 08:58:44+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4038223000000";"11,3173101997222";"49.4038223 11.3173101997222";"12"
"20210719_102603.jpg";"3581726";"2021:09:21 08:58:46+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4038223000000";"11,3173101997222";"49.4038223 11.3173101997222";"12"
"20210719_102649.jpg";"5408237";"2021:09:21 08:58:52+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4038698997222";"11,3172466000000";"49.4038698997222 11.3172466";"12"
"20210719_102740.jpg";"6863407";"2021:09:21 08:58:50+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4037259997222";"11,3172680997222";"49.4037259997222 11.3172680997222";"12"
"20210719_102848.jpg";"6891074";"2021:09:21 08:58:58+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_102854.jpg";"3092459";"2021:09:21 08:58:56+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4035663000000";"11,3172774000000";"49.4035663 11.3172774";"12"
"20210719_102928.jpg";"4959530";"2021:09:21 08:58:58+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4035663000000";"11,3172774000000";"49.4035663 11.3172774";"12"
"20210719_103025.jpg";"1846037";"2021:09:21 08:58:54+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4033878997222";"11,3172703000000";"49.4033878997222 11.3172703";"12"
"20210719_103202.jpg";"5072472";"2021:09:21 08:59:00+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_103256.jpg";"2022914";"2021:09:21 08:59:00+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4033415997222";"11,3170695997222";"49.4033415997222 11.3170695997222";"12"
"20210719_103308.jpg";"1687209";"2021:09:21 08:59:00+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4034478000000";"11,3173434997222";"49.4034478 11.3173434997222";"12"
"20210719_103408.jpg";"3188897";"2021:09:21 08:59:02+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4034568000000";"11,3171614997222";"49.4034568 11.3171614997222";"12"
"20210719_103459.jpg";"4941182";"2021:09:21 08:59:04+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4034568000000";"11,3171614997222";"49.4034568 11.3171614997222";"12"
"20210719_103602.jpg";"4627799";"2021:09:21 08:59:06+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_103628.jpg";"5915039";"2021:09:21 08:59:06+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4034568000000";"11,3171614997222";"49.4034568 11.3171614997222";"12"
"20210719_103721.jpg";"4907739";"2021:09:21 08:59:08+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_103753.jpg";"4767983";"2021:09:21 08:59:08+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_103851.jpg";"6144589";"2021:09:21 08:59:12+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_103953.jpg";"3340955";"2021:09:21 08:59:10+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
