"file";"dt_ocr";"dt"
"tmp_1627404412204.jpg";"2021 7122 10 59";"2021/07/22 10:59:00"
"tmp_1627558023952.jpg";"2021 7 22 10 59";"2021/07/22 10:59:00"
"tmp_1627558028030.jpg";"2021 7 22 10 36";"2021/07/22 10:36:00"
"tmp_1627558033211.jpg";"2021 7 22 11 00";"2021/07/22 11:00:00"
"tmp_1627558056834.jpg";"202";
"tmp_1627558064349.jpg";"2 6 1627558064349 386";
"tmp_1627558073562.jpg";"2021 79 207";
"tmp_1627558075606.jpg";"";
"tmp_1627558091811.jpg";"2021 7 22 11 07";"2021/07/22 11:07:00"
"tmp_1627558098646.jpg";"";
"tmp_1627558116388.jpg";"";
"tmp_1627558122417.jpg";"21";
"tmp_1627558130666.jpg";"2021 7 22 10 15";"2021/07/22 10:15:00"
"tmp_1627558135182.jpg";"2021 7 22 0 16";"2021/07/22 10:16:00"
"tmp_1627558140147.jpg";"2021 7 22 10 20";"2021/07/22 10:20:00"
"tmp_1627558144356.jpg";"";
"tmp_1627558150463.jpg";"2021 7 22 10 23";"2021/07/22 10:23:00"
"tmp_1627558157193.jpg";"2021 7 22 10 19";"2021/07/22 10:19:00"
"tmp_1627558162510.jpg";"202117122 10 25";"2021/07/22 10:25:00"
"tmp_1627558166429.jpg";"2021 7 22 10 27";"2021/07/22 10:27:00"
"tmp_1627558171608.jpg";"2021 7 22 10 33";"2021/07/22 10:33:00"
"tmp_1627558175341.jpg";"010 3";
"tmp_1627558180928.jpg";"2024 7122 10 43";"2024/07/22 10:43:00"
"tmp_1627558186613.jpg";"202177122 10 44";"2021/07/22 10:44:00"
"tmp_1627558192470.jpg";"22";
"tmp_1627558195744.jpg";"2021 7122 10 46";"2021/07/22 10:46:00"
"tmp_1627558201129.jpg";"";
"tmp_1627558205690.jpg";"202 1";
"tmp_1627558208809.jpg";"2021 7122 10 59";"2021/07/22 10:59:00"
